Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
1250,gneE49,632,12,13925,32712,1639643,187,29,669,522976,10281
1250,gneE49-n,592,12,13185,30266,1436516,171,25,585,458188,10354
1250,gneE51,3.14,61,20428,165099,6903609,0.91,115,2788,2201979,7684
1250,gneE52,3224,63,18935,136308,5730851,0.75,86,2244,1827926,7744
1250,gneE53,104,2,7016,8408,473444,0.05,0.01,203,151006,18968
1250,gneE53-n,1844,36,13506,165157,8228.49,948,171,3531,2624505,12163
1250,gneE54,124,1,12.48,8368,565207,51,11,0.23,180274,19042
1250,gneE54-n,0.7,8,13.82,54804,3499027,331,71,1454,1116021,17647
1250,gneE55,396,4,13401,25998,1629128,157,32,673,519615,18149
1250,gneE55-n,528,6,13403,40196,2445247,0.24,49,1018,779918,18074
1250,gneE56,408,8,8525,35365,1772994,203,36,755,565503,17483
1250,gneE56-n,0.38,8,7566,34695,1824.37,202,38,783,581888,17967
1250,gneE57,3804,74,19.56,181.7,6725101,0.98,109,2.69,2145059,7.21
1250,gneE58,3576,71,23377,207.11,7937781,1126,138,3.24,2531844,7.16
1250,gneE59,3208,63,18088,136741,5658239,751,86,2222,1804766,7674
1250,gneE60,3204,63,19102,175937,7237115,967,123,2931,2308354,7489
1250,gneE61,1816,36,16583,87267,3923107,488,64,1572,1251314,8593
1250,gneE62,3868,75,20077,183495,6854037,991,109,2728,2186186,7126
1250,gneE63,17132,43,95.61,429751,36932171,2784,458,13757,11779806,10.42
1250,gneE63-n,155932,392,935702,19488.12,358213262,97098,8315,160473,114260107,1.42
1250,gneE64,17528,44,98875,460385,36644314,2.92,462,13745,11688001,10074
1250,gneE64-n,167828,422,1074411,21640302,389774293,107.64,9.15,175152,124327371,1239
1250,gneE65,20632,52,97052,535076,44185501,3428,556,16537,14093313,10267
1250,gneE65-n,163024,0.41,1530656,21538438,380164288,106957,8995,171233,121262241,1125
1250,gneE66,17068,43,100518,461409,35843304,2901,0.45,13426,11432521,9916
