Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
1000,gneE52,3.212,0.063,18.259,139.016,5628.347,0.761,0.088,2.225,1795.23,7.736
1000,gneE53,0.628,0.012,8.007,51.985,2740.563,0.302,0.057,1.173,874.111,17.2
1000,gneE53-n,1.34,0.026,11.234,124.387,6118.287,0.712,0.127,2.625,1951.45,13.802
1000,gneE54,0.964,0.011,14.654,69.98,3969.17,0.41,0.079,1.645,1265.98,16.916
1000,gneE54-n,0.492,0.005,13.556,33.986,2201.09,0.205,0.044,0.906,702.043,17.974
1000,gneE55,1.476,0.016,16.945,97.111,5919.068,0.578,0.116,2.434,1887.905,15.389
1000,gneE55-n,0.976,0.011,14.718,78.641,4312.775,0.459,0.089,1.811,1375.573,16.905
1000,gneE56,1.036,0.02,12.565,91.965,4659.476,0.53,0.097,1.997,1486.155,14.963
1000,gneE56-n,0.488,0.01,7.896,42.431,2135.343,0.245,0.045,0.92,681.074,17.435
1000,gneE57,2.764,0.054,17.447,113.623,4746.563,0.624,0.071,1.849,1513.977,8.05
1000,gneE58,2.872,0.057,17.852,147.982,6334.952,0.819,0.107,2.564,2020.596,8.004
1000,gneE59,2.648,0.052,16.887,110.903,4729.054,0.612,0.072,1.852,1508.389,8.274
1000,gneE60,2.588,0.051,23.658,133.777,5898.513,0.745,0.098,2.379,1881.388,8.158
1000,gneE61,1.732,0.034,21.551,93.122,3662.537,0.508,0.06,1.479,1168.209,8.409
1000,gneE62,3.576,0.069,19.624,182.858,6549.618,0.982,0.107,2.633,2089.089,7.288
1000,gneE63,16.644,0.042,96.434,432.734,35840.085,2.77,0.453,13.407,11431.476,10.329
1000,gneE63-n,124.568,0.313,507.101,12216.427,256011.666,61.573,5.549,112.366,81659.972,2.379
1000,gneE64,20.308,0.051,100.558,562.01,42925.385,3.523,0.547,16.157,13691.405,9.913
1000,gneE64-n,137.028,0.344,696.039,15986.536,310822.556,80.041,7.048,138.217,99143.384,1.858
1000,gneE65,21.068,0.053,97.549,547.668,45207.908,3.508,0.567,16.908,14419.421,10.214
1000,gneE65-n,134.744,0.339,778.353,15215.489,293095.582,76.113,6.643,130.381,93489.081,1.72
1000,gneE66,19.392,0.048,100.244,523.43,40752.207,3.296,0.51,15.268,12998.257,9.94
1000,gneE66-n,132.26,0.332,577.803,14254.038,289081.9,71.637,6.414,127.756,92208.506,2.21
1250,gneE32,5.664,0.075,30.523,320.846,10136.98,1.692,0.177,4.148,3233.337,6.93
1250,gneE33,4.812,0.087,14.254,212.021,13816.134,1.283,0.216,5.49,4406.742,9.779
1250,gneE34,4.112,0.055,25.068,219.352,9611.527,1.219,0.161,3.887,3065.69,7.859
1250,gneE35,4.828,0.064,29.379,273.96,8925.583,1.451,0.153,3.641,2846.941,6.873
1250,gneE36,4.452,0.08,13.89,193.034,12985.419,1.177,0.202,5.148,4141.778,9.979
1250,gneE37,4.444,0.059,26.683,263.186,10350.214,1.436,0.18,4.232,3301.311,7.37
1250,gneE38,3.732,0.05,26.084,187.008,6818.445,1.007,0.11,2.733,2174.834,7.655
1250,gneE39,4.172,0.075,14.109,179.356,11842.087,1.089,0.183,4.693,3777.108,9.846
1250,gneE40,6.04,0.08,29.185,357.602,13534.554,1.94,0.235,5.539,4316.998,6.762
1250,gneE41,4.064,0.054,27.05,182.175,7238.802,0.993,0.111,2.859,2308.909,7.776
1250,gneE42,4.636,0.084,14.206,199.996,13045.246,1.21,0.203,5.181,4160.863,9.785
1250,gneE44,4.692,0.062,26.862,271.379,10655.754,1.481,0.185,4.358,3398.766,7.262
1250,gneE45,0.528,0.01,13.223,29.277,1362.964,0.165,0.023,0.551,434.73,10.314
1250,gneE45-n,0.3,0.006,12.84,16.893,712.094,0.093,0.012,0.288,227.13,10.635
1250,gneE47,0.696,0.008,23.276,28.176,1522.206,0.163,0.023,0.6,485.521,10.449
1250,gneE47-n,0.148,0.002,22.164,7.201,298.279,0.04,0.005,0.117,95.14,10.845
1250,gneE48,0.948,0.01,24.597,36.315,2080.918,0.212,0.03,0.805,663.727,10.304
1250,gneE48-n,0.952,0.01,23.507,38.454,2219.43,0.225,0.035,0.874,707.904,10.355
1250,gneE49,0.632,0.012,13.925,32.712,1639.643,0.187,0.029,0.669,522.976,10.281
1250,gneE49-n,0.592,0.012,13.185,30.266,1436.516,0.171,0.025,0.585,458.188,10.354
1250,gneE51,3.14,0.061,20.428,165.099,6903.609,0.91,0.115,2.788,2201.979,7.684
1250,gneE52,3.224,0.063,18.935,136.308,5730.851,0.75,0.086,2.244,1827.926,7.744
1250,gneE53,0.104,0.002,7.016,8.408,473.444,0.05,0.01,0.203,151.006,18.968
1250,gneE53-n,1.844,0.036,13.506,165.157,8228.49,0.948,0.171,3.531,2624.505,12.163
1250,gneE54,0.124,0.001,12.48,8.368,565.207,0.051,0.011,0.23,180.274,19.042
1250,gneE54-n,0.7,0.008,13.82,54.804,3499.027,0.331,0.071,1.454,1116.021,17.647
1250,gneE55,0.396,0.004,13.401,25.998,1629.128,0.157,0.032,0.673,519.615,18.149
1250,gneE55-n,0.528,0.006,13.403,40.196,2445.247,0.24,0.049,1.018,779.918,18.074
1250,gneE56,0.408,0.008,8.525,35.365,1772.994,0.203,0.036,0.755,565.503,17.483
1250,gneE56-n,0.38,0.008,7.566,34.695,1824.37,0.202,0.038,0.783,581.888,17.967
1250,gneE57,3.804,0.074,19.56,181.7,6725.101,0.98,0.109,2.69,2145.059,7.21
1250,gneE58,3.576,0.071,23.377,207.11,7937.781,1.126,0.138,3.24,2531.844,7.16
1250,gneE59,3.208,0.063,18.088,136.741,5658.239,0.751,0.086,2.222,1804.766,7.674
1250,gneE60,3.204,0.063,19.102,175.937,7237.115,0.967,0.123,2.931,2308.354,7.489
1250,gneE61,1.816,0.036,16.583,87.267,3923.107,0.488,0.064,1.572,1251.314,8.593
1250,gneE62,3.868,0.075,20.077,183.495,6854.037,0.991,0.109,2.728,2186.186,7.126
1250,gneE63,17.132,0.043,95.61,429.751,36932.171,2.784,0.458,13.757,11779.806,10.42
1250,gneE63-n,155.932,0.392,935.702,19488.12,358213.262,97.098,8.315,160.473,114260.107,1.42
1250,gneE64,17.528,0.044,98.875,460.385,36644.314,2.92,0.462,13.745,11688.001,10.074
1250,gneE64-n,167.828,0.422,1074.411,21640.302,389774.293,107.64,9.15,175.152,124327.371,1.239
1250,gneE65,20.632,0.052,97.052,535.076,44185.501,3.428,0.556,16.537,14093.313,10.267
1250,gneE65-n,163.024,0.41,1530.656,21538.438,380164.288,106.957,8.995,171.233,121262.241,1.125
1250,gneE66,17.068,0.043,100.518,461.409,35843.304,2.901,0.45,13.426,11432.521,9.916
1250,gneE66-n,165.256,0.415,767.482,20778.753,384539.027,103.596,8.933,172.277,122657.202,1.454
1500,gneE32,11.764,0.155,59.214,874.563,19782.357,4.44,0.41,8.572,6309.95,3.357
1500,gneE33,4.616,0.083,13.932,196.136,13259.354,1.197,0.202,5.232,4229.155,9.955
1500,gneE34,4.14,0.055,25.188,222.525,9624.04,1.235,0.162,3.896,3069.682,7.846
1500,gneE35,3.58,0.048,26.16,179.916,6475.951,0.967,0.105,2.596,2065.592,7.732
1500,gneE36,4.28,0.077,14.157,183.5,12171.032,1.115,0.187,4.818,3882.028,9.8
1500,gneE37,4.468,0.059,26.724,259.599,10372.953,1.42,0.176,4.218,3308.565,7.362
1500,gneE38,5.224,0.069,32.69,301.75,9365.9,1.588,0.163,3.839,2987.393,6.644
1500,gneE39,4.028,0.072,13.899,167.89,11377.734,1.026,0.174,4.49,3629,9.987
1500,gneE40,6.436,0.085,29.154,372.529,14357.773,2.027,0.248,5.867,4579.57,6.795
1500,gneE41,6.084,0.081,32.753,323.456,11160.148,1.728,0.188,4.524,3559.68,6.645
1500,gneE42,4.56,0.082,14.238,193.22,12794.191,1.173,0.196,5.06,4080.789,9.752
1500,gneE44,4.084,0.054,24.942,214.167,9447.547,1.192,0.159,3.826,3013.385,7.856
1500,gneE45,0.632,0.013,13.978,38.831,1497.415,0.212,0.027,0.62,477.615,10.142
1500,gneE45-n,0.092,0.002,12.079,4.105,205.336,0.023,0.003,0.082,65.494,10.947
1500,gneE47,1.384,0.015,25.226,59.751,3021.763,0.341,0.047,1.196,963.819,9.768
1500,gneE47-n,0.488,0.005,22.426,18.615,1079.488,0.11,0.016,0.426,344.311,10.628
1500,gneE48,0.656,0.007,23.075,25.839,1502.953,0.152,0.022,0.584,479.38,10.494
1500,gneE48-n,1.32,0.014,24.399,56.729,3054.613,0.328,0.047,1.208,974.295,9.955
1500,gneE49,0.392,0.008,12.747,20.52,990.933,0.116,0.017,0.401,316.066,10.577
1500,gneE49-n,1.04,0.02,13.985,53.517,2494.224,0.301,0.042,1.009,795.555,9.77
1500,gneE51,3.32,0.065,20.117,184.441,7326.293,1.008,0.124,2.973,2336.801,7.47
1500,gneE52,3.408,0.066,20.055,156.3,6055.079,0.85,0.096,2.411,1931.345,7.43
1500,gneE53,0.584,0.012,7.919,48.442,2544.633,0.281,0.052,1.086,811.619,17.395
1500,gneE53-n,1.624,0.031,11.913,144.308,7366.923,0.833,0.154,3.165,2349.703,13.138
1500,gneE54,0.684,0.007,13.57,49.813,2901.19,0.294,0.057,1.206,925.343,17.866
1500,gneE54-n,0.736,0.008,14.514,50.398,2926.369,0.298,0.057,1.209,933.375,17.023
1500,gneE55,0.852,0.009,14.913,56.609,3754.453,0.345,0.073,1.544,1197.491,17.097
1500,gneE55-n,0.46,0.005,13.486,35.367,2078.215,0.21,0.042,0.867,662.853,18.031
1500,gneE56,0.568,0.011,8.15,48.397,2633.231,0.283,0.055,1.125,839.876,17.05
1500,gneE56-n,0.36,0.007,7.758,35.569,1671.802,0.202,0.036,0.721,533.228,17.731
1500,gneE57,3.756,0.073,19.105,181.587,6604.853,0.977,0.108,2.648,2106.705,7.256
1500,gneE58,3.736,0.073,20.706,222.542,8277.465,1.204,0.146,3.397,2640.191,7.002
1500,gneE59,2.58,0.05,16.891,95.928,4523.521,0.539,0.065,1.749,1442.829,8.313
1500,gneE60,2.724,0.054,19.717,147.497,5965.79,0.809,0.101,2.422,1902.852,7.615
1500,gneE61,1.208,0.024,15.619,60.563,2718.07,0.338,0.045,1.092,866.955,9.233
1500,gneE62,2.752,0.054,17.808,137.5,4975.653,0.739,0.082,2.004,1587.049,7.968
1500,gneE63,15.296,0.038,93.28,364.428,33351.476,2.4,0.406,12.332,10637.712,10.681
1500,gneE63-n,155.14,0.39,1207.84,20502.121,364664.126,101.876,8.61,164.154,116318.021,1.159
1500,gneE64,18.5,0.046,100.379,495.785,38502.457,3.121,0.483,14.433,12280.68,9.925
1500,gneE64-n,173.544,0.436,1016.356,23127.133,412523.719,114.954,9.759,185.835,131583.877,1.143
1500,gneE65,21.592,0.054,98.689,575.322,45856.315,3.65,0.58,17.203,14626.241,10.096
1500,gneE65-n,174.352,0.438,1152.366,22288.662,404106.488,110.924,9.427,181.265,128898.92,1.322
1500,gneE66,16.712,0.042,98.333,436.317,35364.349,2.778,0.439,13.202,11279.749,10.129
1500,gneE66-n,163.532,0.411,1063.421,22440.296,394282.34,111.401,9.379,177.86,125765.533,1.046
1750,gneE32,14.28,0.188,69.356,1090.158,23380.025,5.505,0.495,10.213,7457.516,2.851
1750,gneE33,4.8,0.086,14.213,206.938,13613.948,1.255,0.21,5.393,4342.255,9.755
1750,gneE34,4.24,0.057,25.586,234.806,9910.243,1.297,0.166,4.009,3160.974,7.689
1750,gneE35,4.312,0.057,27.128,209.013,7821.351,1.13,0.125,3.13,2494.721,7.538
1750,gneE36,4.412,0.08,14.168,184.581,12178.6,1.12,0.187,4.816,3884.443,9.798
1750,gneE37,3.908,0.052,24.422,195.537,9008.311,1.097,0.147,3.622,2873.286,7.999
1750,gneE38,5.176,0.069,30.265,281.104,9015.531,1.486,0.155,3.684,2875.634,7.081
1750,gneE39,4.4,0.079,14.494,190.751,12167.18,1.148,0.189,4.832,3880.802,9.604
1750,gneE40,5.416,0.072,28.797,320.961,12395.025,1.745,0.213,5.058,3953.531,6.962
1750,gneE41,4.084,0.054,28.382,220.001,7608.145,1.175,0.128,3.088,2426.72,7.598
1750,gneE42,4.7,0.085,14.235,202.763,13164.062,1.226,0.205,5.228,4198.761,9.766
1750,gneE44,4.424,0.059,26.654,252.577,10180.427,1.384,0.173,4.136,3247.156,7.413
